city;area;rooms;bathroom;parking spaces;floor;animal;furniture;rent
Belo Horizonte;22;1;1;0;0;acept;not furnished;499
Rio de Janeiro;30;1;1;1;3;acept;not furnished;507
São Paulo;35;1;1;0;0;not acept;not furnished;508
Porto Alegre;30;1;1;0;0;not acept;not furnished;509
Belo Horizonte;25;1;1;1;1;not acept;not furnished;545
Belo Horizonte;20;1;1;0;1;not acept;not furnished;549
Porto Alegre;60;2;1;1;0;acept;not furnished;550
Belo Horizonte;30;1;1;0;2;acept;not furnished;557
Belo Horizonte;30;1;1;0;2;not acept;not furnished;558
Porto Alegre;24;1;1;1;0;not acept;not furnished;559
Porto Alegre;25;1;1;0;0;not acept;not furnished;559
Belo Horizonte;24;1;1;1;0;not acept;not furnished;560
São Paulo;20;1;1;0;0;acept;not furnished;589
Rio de Janeiro;20;1;1;0;2;acept;not furnished;608
Rio de Janeiro;25;1;1;0;4;acept;not furnished;608
São Paulo;25;1;1;0;0;not acept;not furnished;610
Porto Alegre;28;2;1;1;0;acept;not furnished;611
São Paulo;40;1;1;0;0;acept;not furnished;640
Belo Horizonte;25;1;1;1;1;not acept;not furnished;642
São Paulo;40;1;1;0;0;not acept;not furnished;644
Belo Horizonte;25;1;1;0;2;not acept;not furnished;659
Belo Horizonte;30;1;1;0;1;not acept;not furnished;659
São Paulo;40;1;1;0;0;not acept;not furnished;660
Rio de Janeiro;25;1;1;0;0;not acept;not furnished;671
São Paulo;40;1;1;0;0;acept;not furnished;677
Belo Horizonte;50;2;1;0;0;not acept;not furnished;678
São Paulo;30;1;1;0;0;not acept;not furnished;685
Rio de Janeiro;30;1;1;0;0;not acept;not furnished;689
Belo Horizonte;30;1;1;0;1;acept;not furnished;693
São Paulo;30;1;1;0;0;not acept;not furnished;697
São Paulo;50;1;1;0;0;not acept;not furnished;701
São Paulo;50;1;1;0;0;acept;not furnished;701
Porto Alegre;60;2;1;0;0;acept;not furnished;704
Belo Horizonte;16;1;1;0;1;not acept;not furnished;709
Belo Horizonte;22;1;1;0;1;not acept;furnished;710
Belo Horizonte;30;1;1;0;0;not acept;not furnished;710
Belo Horizonte;35;1;1;1;1;not acept;not furnished;710
Belo Horizonte;73;1;1;0;4;acept;not furnished;710
Rio de Janeiro;15;1;1;0;0;acept;not furnished;710
Rio de Janeiro;20;1;1;0;0;acept;not furnished;710
Campinas;42;1;1;0;1;acept;not furnished;711
Belo Horizonte;30;1;1;1;0;not acept;not furnished;715
Belo Horizonte;15;1;1;0;0;acept;not furnished;719
Belo Horizonte;40;1;1;0;0;not acept;not furnished;720
Porto Alegre;28;1;1;0;4;acept;not furnished;733
Campinas;45;1;1;0;0;not acept;not furnished;736
Belo Horizonte;24;1;1;0;1;not acept;not furnished;740
Porto Alegre;50;1;1;0;1;acept;not furnished;740
Porto Alegre;55;3;1;0;0;not acept;not furnished;741
São Paulo;50;1;1;0;0;acept;not furnished;756
Rio de Janeiro;15;1;1;0;0;acept;not furnished;760
Rio de Janeiro;20;1;1;0;0;not acept;not furnished;760
Rio de Janeiro;25;1;1;0;0;acept;not furnished;760
Rio de Janeiro;25;1;1;0;1;acept;not furnished;760
Rio de Janeiro;25;1;1;0;0;acept;not furnished;760
Rio de Janeiro;25;1;1;0;1;acept;not furnished;760
Rio de Janeiro;25;1;1;0;0;acept;not furnished;760
Rio de Janeiro;35;1;1;0;0;acept;not furnished;760
Porto Alegre;50;2;1;0;0;not acept;not furnished;761
São Paulo;40;1;1;0;0;not acept;not furnished;762
São Paulo;50;1;1;0;0;not acept;not furnished;762
Porto Alegre;40;1;1;0;0;not acept;not furnished;764
São Paulo;22;1;1;0;0;not acept;not furnished;764
São Paulo;30;1;1;0;0;not acept;not furnished;770
São Paulo;40;1;1;0;0;not acept;not furnished;770
São Paulo;50;1;1;0;0;acept;not furnished;778
Porto Alegre;45;1;1;0;1;acept;not furnished;784
São Paulo;50;1;1;0;0;not acept;not furnished;787
Belo Horizonte;50;1;1;0;1;acept;not furnished;790
Porto Alegre;30;1;1;1;0;acept;not furnished;791
Porto Alegre;36;1;1;1;0;acept;not furnished;791
São Paulo;35;1;1;0;0;acept;not furnished;791
Campinas;45;1;1;0;14;not acept;not furnished;792
São Paulo;35;1;1;0;0;not acept;not furnished;796
Campinas;30;1;1;0;15;acept;not furnished;797
Rio de Janeiro;25;1;1;0;2;acept;not furnished;797
Porto Alegre;35;1;1;0;1;acept;not furnished;798
São Paulo;20;1;1;0;0;not acept;not furnished;801
Porto Alegre;45;1;1;1;1;not acept;not furnished;802
São Paulo;25;1;1;0;2;not acept;not furnished;803
São Paulo;45;1;1;0;2;not acept;not furnished;803
Porto Alegre;53;1;1;0;2;acept;not furnished;805
São Paulo;40;1;1;0;0;not acept;not furnished;809
Porto Alegre;48;2;1;0;1;acept;not furnished;811
